Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
1781,Kettlebell Goblet Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,0,Walking,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1782,Dumbbell Seated Tibialis Raise,Novice,Shins,Tibialis Anterior,Dumbbell,1,Seated,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Unsorted*
1783,Kettlebell Horn Grip Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1784,Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Double Arm,Continuous,Pronated,Low Hold,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1785,Double Dumbbell Seated Feet Elevated Calf Raise,Beginner,Calves,Soleus,Dumbbell,1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1786,Barbell Seated Feet Elevated Calf Raise,Novice,Calves,Soleus,Barbell,1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1787,Kettlebell Horn Grip Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1788,Tire Leg Press,Intermediate,Quadriceps,Quadriceps Femoris,Tire,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1789,Cable Split Squat Isometric Pallof Press,Intermediate,Abdominals,Obliques,Cable,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Full Body,Other,Unilateral,Balance
1790,Bodyweight Split Squat Isometric Calf Raise,Intermediate,Calves,Soleus,Bodyweight,0,Split Squat Isometric,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1791,Bodyweight Split Squat Isometric Foot Elevated Calf Raise,Intermediate,Calves,Soleus,Bodyweight,0,Split Squat Isometric,No Arms,Continuous,No Grip,No Load,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1792,Double Dumbbell Suitcase Split Squat Isometric Calf Raise,Advanced,Calves,Soleus,Dumbbell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1793,Double Dumbbell Suitcase Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Soleus,Dumbbell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Suitcase,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1794,Kettlebell Horn Grip Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1795,Kettlebell Horn Grip Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,0,Walking,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1796,Barbell Back Rack  Split Squat Isometric Calf Raise,Advanced,Calves,Soleus,Barbell,0,Split Squat Isometric,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1797,Barbell Back Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Soleus,Barbell,0,Split Squat Isometric,Double Arm,Continuous,Pronated,Back Rack,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1798,Barbell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Soleus,Barbell,0,Split Squat Isometric,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1799,Barbell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Soleus,Barbell,0,Split Squat Isometric,Double Arm,Continuous,Pronated,Front Rack,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1800,Single Arm Dumbbell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Dumbbell,0,Single Leg Standing,Single Arm,Continuous,Hand Assisted,Suitcase,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Ipsilateral,Bodybuilding
1801,Double Kettlebell Straddle L Sit,Advanced,Abdominals,Rectus Abdominis,Kettlebell,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
1802,Double Dumbbell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Soleus,Dumbbell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1803,Double Dumbbell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Soleus,Dumbbell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Front Rack,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1804,Single Arm Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1805,Single Arm Kettlebell Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Lower Body,Push,Contralateral,Bodybuilding
1806,Bodyweight Jump Squat,Intermediate,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Plyometric
1807,Double Dumbbell Suitcase Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Dumbbell,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Alternating,Foot Elevated (Front),Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1808,Double Dumbbell Front Rack Step Up,Novice,Quadriceps,Quadriceps Femoris,Dumbbell,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1809,Cable V Grip Seated Low Row,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1810,Resistance Band Half Kneeling Face Pull,Beginner,Shoulders,Posterior Deltoids,Resistance Band,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
1811,Bodyweight Prone Cobra,Beginner,Back,Erector Spinae ,Bodyweight,0,Prone,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Unsorted*,Bilateral,Postural
1812,Barbell Hang Power Snatch,Advanced,Glutes,Gluteus Maximus,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Unsorted*,Bilateral,Olympic Weightlifting 
1813,Barbell Hang Squat Snatch,Advanced,Quadriceps,Quadriceps Femoris,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Unsorted*,Bilateral,Olympic Weightlifting 
1814,Double Dumbbell Seated Reverse Fly,Beginner,Shoulders,Posterior Deltoids,Dumbbell,1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1815,Single Arm Dumbbell Seated Concentration Curl,Beginner,Biceps,Biceps Brachii,Dumbbell,1,Seated,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Bodybuilding
1816,Alternating Double Dumbbell Seated Bicep Curl,Beginner,Biceps,Biceps Brachii,Dumbbell,1,Seated,Double Arm,Alternating,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Bodybuilding
1817,Alternating Double Dumbbell Front Raise,Beginner,Shoulders,Anterior Deltoids,Dumbbell,0,Standing,Double Arm,Alternating,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Unilateral,Bodybuilding
1818,Cable Wide Grip Lat Pulldown,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1819,Cable Reverse Grip Lat Pulldown,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1820,Cable V Grip Lat Pulldown,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1821,Bodyweight Bicycle Crunch,Novice,Abdominals,Obliques,Bodyweight,0,Supine,No Arms,Alternating,Head Supported,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
1822,Bodyweight Broad Jump,Intermediate,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Plyometric
1823,Bodyweight Forearm Plank,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
1824,Parallette Plank,Novice,Abdominals,Rectus Abdominis,Parallette Bars,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
1825,Double Clubbell Shoulder Park Squat,Novice,Quadriceps,Quadriceps Femoris,Clubbell,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Unsorted*
1826,Double Clubbell Clean to Shoulder Park Squat,Intermediate,Quadriceps,Quadriceps Femoris,Clubbell,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Combo Exercise,Full Body,Unsorted*,Bilateral,Unsorted*
1827,Clubbell Shoulder Park Squat,Novice,Quadriceps,Quadriceps Femoris,Clubbell,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Unsorted*
1828,Single Arm Clubbell Shoulder Park Squat,Novice,Quadriceps,Quadriceps Femoris,Clubbell,0,Standing,Single Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Unsorted*
1829,Clubbell Swing to Alternating Shoulder Park Squat,Intermediate,Quadriceps,Quadriceps Femoris,Clubbell,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Combo Exercise,Lower Body,Push,Bilateral,Unsorted*
1830,Single Arm Dumbbell Bench Press,Beginner,Chest,Pectoralis Major,Dumbbell,1,Supine,Single Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Unilateral,Bodybuilding
1831,Double Dumbbell Bench Press,Beginner,Chest,Pectoralis Major,Dumbbell,1,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1832,Barbell Split Jerk,Advanced,Shoulders,Anterior Deltoids,Barbell,0,Staggered Stance,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Unilateral,Olympic Weightlifting 
1833,Barbell Power Clean to Split Jerk,Expert,Shoulders,Anterior Deltoids,Barbell,0,Staggered Stance,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Full Body,Push & Pull,Unilateral,Olympic Weightlifting 
1834,Double Dumbbell Incline Bench Press,Beginner,Chest,Pectoralis Major,Dumbbell,1,Seated,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1835,Barbell Power Jerk,Intermediate,Shoulders,Anterior Deltoids,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Bilateral,Olympic Weightlifting 
1836,Barbell Squat Jerk,Advanced,Quadriceps,Quadriceps Femoris,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Bilateral,Olympic Weightlifting 
1837,Double Kettlebell Bent Over Row,Beginner,Back,Latissimus Dorsi,Kettlebell,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1838,Bodyweight Seated Wall Angels,Beginner,Shoulders,Posterior Deltoids,Bodyweight,0,Seated Floor,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Unsorted*
1839,Parallette Kneeling Close Grip Push Up,Beginner,Triceps,Triceps Brachii,Parallette Bars,0,Prone,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Calisthenics
1840,Double Kettlebell Shrug,Beginner,Trapezius ,Upper Trapezius,Kettlebell,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1841,Bodyweight Alternating Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Bodyweight,0,Split Squat,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Plyometric
1842,Suspension Y Raise,Beginner,Shoulders,Posterior Deltoids,Suspension Trainer,0,Standing,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
1843,Bodyweight Standing Wall Angels,Beginner,Shoulders,Posterior Deltoids,Bodyweight,0,Standing,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Unsorted*
1844,Double Kettlebell Mountain Climber,Novice,Abdominals,Rectus Abdominis,Kettlebell,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
1845,Bodyweight Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Bodyweight,0,Split Squat,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Plyometric
1846,Bodyweight Duck Walk,Intermediate,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Animal Flow
1847,Barbell Front Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Barbell,0,Split Squat,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1848,Barbell Overhead Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Barbell,0,Split Squat,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1849,Double Dumbbell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Dumbbell,0,Staggered Stance,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Bilateral,Unsorted*
1850,Suspension Reverse Fly,Beginner,Shoulders,Posterior Deltoids,Suspension Trainer,0,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
1851,Double Dumbbell Decline Bench Press,Beginner,Chest,Pectoralis Major,Dumbbell,1,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1852,Single Arm Dumbbell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Dumbbell,0,Staggered Stance,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Unilateral,Unsorted*
1853,Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Gluteus Maximus,Kettlebell,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Unsorted*,Unilateral,Ballistics
1854,Bodyweight Copenhagen Plank Side Raise,Intermediate,Adductors,Adductor Magnus,Bodyweight,1,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,Foot Elevated (Side),Single Exercise,Lower Body,Other,Unilateral,Unsorted*
1855,Bodyweight Copenhagen Plank with Leg Lift,Intermediate,Adductors,Adductor Magnus,Bodyweight,1,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,Foot Elevated (Side),Single Exercise,Lower Body,Other,Unilateral,Unsorted*
1856,Double Dumbbell Chest Fly,Beginner,Chest,Pectoralis Major,Dumbbell,1,Supine,Double Arm,Continuous,Neutral,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1857,Double Dumbbell Decline Bench Chest Fly,Beginner,Chest,Pectoralis Major,Dumbbell,1,Supine,Double Arm,Continuous,Neutral,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1858,Double Kettlebell Suitcase Calf Raise,Beginner,Calves,Gastrocnemius,Kettlebell,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1859,Double Kettlebell Front Rack Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Kettlebell,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1860,Dumbbell Crush Grip Bent Over Row,Beginner,Back,Latissimus Dorsi,Dumbbell,0,Standing,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1861,Double Kettlebell Front Rack Calf Raise,Beginner,Calves,Gastrocnemius,Kettlebell,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1862,Dumbbell Crush Grip Bicep Curl to Overhead Press,Beginner,Shoulders,Anterior Deltoids,Dumbbell,0,Standing,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Combo Exercise,Upper Body,Push & Pull,Bilateral,Bodybuilding
1863,Dumbbell Crush Grip Overhead Press,Beginner,Shoulders,Anterior Deltoids,Dumbbell,0,Standing,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1864,Dumbbell Crush Grip Floor Press,Beginner,Chest,Pectoralis Major,Dumbbell,0,Supine,Double Arm,Continuous,Crush Grip,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1865,Dumbbell Crush Grip Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii ,Dumbbell,0,Standing,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1866,Double Kettlebell Suitcase Split Squat Isometric Calf Raise,Advanced,Calves,Soleus,Kettlebell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1867,Bodyweight Single Leg Hip Thrust,Novice,Glutes,Gluteus Maximus,Bodyweight,1,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
1868,Stability Ball Single Leg Hip Thrust,Novice,Glutes,Gluteus Maximus,Stability Ball,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
1869,Double Kettlebell Suitcase Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Soleus,Kettlebell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Suitcase,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1870,Single Arm Kettlebell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Kettlebell,0,Single Leg Standing,Single Arm,Continuous,Hand Assisted,Suitcase,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Ipsilateral,Bodybuilding
1871,Double Kettlebell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Soleus,Kettlebell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
1872,Cable V Grip Seated Floor Lat Pulldown,Beginner,Back,Latissimus Dorsi,Cable,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1873,Double Kettlebell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Soleus,Kettlebell,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Front Rack,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Unilateral,Balance
1874,Battle Rope Alternating Wave,Beginner,Biceps,Biceps Brachii,Battle Ropes,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Other,Unilateral,Unsorted*
1875,Cable Rope Tall Kneeling Tricep Pushdown,Beginner,Triceps,Triceps Brachii ,Cable,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1876,Bodyweight Feet Elevated Calf Raise,Beginner,Calves,Gastrocnemius,Bodyweight,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,Toes Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
1877,Stability Ball Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,Stability Ball,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
1878,Bodyweight Bench Frog Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,Bodyweight,1,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
1879,Bodyweight Bench Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,Bodyweight,1,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
1880,Cable Rope Tall Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Cable,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
1881,Bodyweight V Up,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Double Arm,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
1882,Slider Barbell Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Sliders,1,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1883,Slider Barbell Back Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Sliders,1,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1884,Slider Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Sliders,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1885,Barbell Push Jerk,Intermediate,Shoulders,Anterior Deltoids,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Bilateral,Olympic Weightlifting 
1886,Barbell Power Clean to Push Jerk,Expert,Shoulders,Anterior Deltoids,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Full Body,Push & Pull,Bilateral,Olympic Weightlifting 
1887,Barbell Squat Clean to Push Jerk,Expert,Shoulders,Anterior Deltoids,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Full Body,Push & Pull,Bilateral,Olympic Weightlifting 
1888,Single Arm Kettlebell Outside Swing,Novice,Glutes,Gluteus Maximus,Kettlebell,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Full Body,Unsorted*,Unilateral,Ballistics
1889,Single Arm Kettlebell Suitcase Alternating Forward Lunge Pass Through,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Single Arm,Alternating,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1890,Single Arm Kettlebell Suitcase Alternating Reverse Lunge Pass Through,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Single Arm,Alternating,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
1891,Single Arm Kettlebell Contralateral Forward Lunge Snatch,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Unsorted*,Contralateral,Ballistics
1892,Single Arm Kettlebell Alternating Forward Lunge Snatch,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,0,Standing,Single Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Full Body,Unsorted*,Unilateral,Ballistics
1893,Double Kettlebell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Kettlebell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
1894,Cable Straight Bar Bicep Curl,Beginner,Biceps,Biceps Brachii,Cable,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
1895,Double Kettlebell Glute Bridge Isometric Floor Press,Novice,Chest,Pectoralis Major,Kettlebell,0,Bridge,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Full Body,Push,Bilateral,Bodybuilding
