Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
361,Landmine Zercher Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Landmine,0,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
362,Barbell Back Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Barbell,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
363,Barbell Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Barbell,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
364,Slider Double Kettlebell Overhead Lateral Lunge,Intermediate,Adductors,Adductor Magnus,Sliders,2,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
365,Dumbbell Goblet Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Dumbbell,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
366,Bodyweight Alternating Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
367,Bodyweight Knee Over Toe Split Squat ,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Knee Over Toe Split Squat,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
368,Barbell Back Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Barbell,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
369,Barbell Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Barbell,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
370,Barbell Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Barbell,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
371,EZ Bar Incline Bench Lying Tricep Extension,Novice,Triceps,Triceps Brachii ,EZ Bar,1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
372,EZ Bar Skull Crusher,Novice,Triceps,Triceps Brachii ,EZ Bar,1,Supine,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
